name,barcode,supplier
Office Table,TBL001,Supplier A
Desk for Office,TBL001,Supplier B
Çalışma Masası,TBL002,Supplier C
Mesa de Oficina,TBL001,Supplier D
Gaming Chair,CHR001,Supplier A
Computer Chair,CHR001,Supplier B
Sandalye,CHR002,Supplier C
Silla de Gaming,CHR001,Supplier D
MacBook Pro,PC001,Supplier A
Laptop Computer,PC001,Supplier B
Bilgisayar Notebook,PC001,Supplier C
Portable Computer,PC002,Supplier D
LED Lamp,LMP001,Supplier A
Table Lamp,LMP002,Supplier B
Masa Lambası,LMP002,Supplier C
Desk Light,LMP001,Supplier D
Monitor Screen,MON001,Supplier A
Display 24 inch,MON001,Supplier B
Ekran,MON002,Supplier C
LCD Monitor,MON001,Supplier D
Office Cabinet,CAB001,Supplier A
Storage Cabinet,CAB001,Supplier B
Dolap,CAB002,Supplier C
Armario de Oficina,CAB001,Supplier D
Wireless Mouse,ACC001,Supplier A
Computer Mouse,ACC001,Supplier B
Fare,ACC002,Supplier C
Ratón Inalámbrico,ACC001,Supplier D
Book Shelf,SHF001,Supplier A
Bookcase,SHF001,Supplier B
Kitap Rafı,SHF002,Supplier C
Estantería,SHF001,Supplier D
